node1
Files already downloaded and verified
Files already downloaded and verified
Epoch 132/300: SAM Test Error: 9.73%
Epoch 133/300: SAM Test Error: 9.73%
Epoch 134/300: SAM Test Error: 11.50%
Epoch 135/300: SAM Test Error: 10.97%
Epoch 136/300: SAM Test Error: 9.61%
Epoch 137/300: SAM Test Error: 10.05%
Epoch 138/300: SAM Test Error: 8.03%
Epoch 139/300: SAM Test Error: 8.69%
Epoch 140/300: SAM Test Error: 9.42%
Models saved at epoch 140
Epoch 141/300: SAM Test Error: 9.68%
Epoch 142/300: SAM Test Error: 11.76%
Epoch 143/300: SAM Test Error: 8.94%
Epoch 144/300: SAM Test Error: 7.91%
Epoch 145/300: SAM Test Error: 8.86%
Epoch 146/300: SAM Test Error: 10.93%
Epoch 147/300: SAM Test Error: 10.38%
Epoch 148/300: SAM Test Error: 9.22%
Epoch 149/300: SAM Test Error: 8.32%
Epoch 150/300: SAM Test Error: 8.70%
Models saved at epoch 150
Epoch 151/300: SAM Test Error: 9.38%
Epoch 152/300: SAM Test Error: 8.44%
Epoch 153/300: SAM Test Error: 8.87%
Epoch 154/300: SAM Test Error: 9.27%
Epoch 155/300: SAM Test Error: 7.81%
Epoch 156/300: SAM Test Error: 8.27%
Epoch 157/300: SAM Test Error: 8.44%
Epoch 158/300: SAM Test Error: 9.31%
Epoch 159/300: SAM Test Error: 8.40%
Epoch 160/300: SAM Test Error: 8.27%
Models saved at epoch 160
Epoch 161/300: SAM Test Error: 8.74%
Epoch 162/300: SAM Test Error: 9.62%
Epoch 163/300: SAM Test Error: 8.65%
Epoch 164/300: SAM Test Error: 8.64%
Epoch 165/300: SAM Test Error: 8.56%
Epoch 166/300: SAM Test Error: 8.37%
Epoch 167/300: SAM Test Error: 8.37%
Epoch 168/300: SAM Test Error: 9.57%
Epoch 169/300: SAM Test Error: 7.88%
Epoch 170/300: SAM Test Error: 8.25%
Models saved at epoch 170
Epoch 171/300: SAM Test Error: 9.92%
Epoch 172/300: SAM Test Error: 10.66%
Epoch 173/300: SAM Test Error: 8.78%
Epoch 174/300: SAM Test Error: 7.85%
Epoch 175/300: SAM Test Error: 8.21%
Epoch 176/300: SAM Test Error: 7.70%
Epoch 177/300: SAM Test Error: 8.44%
Epoch 178/300: SAM Test Error: 8.32%
Epoch 179/300: SAM Test Error: 9.16%
Epoch 180/300: SAM Test Error: 7.66%
Models saved at epoch 180
Epoch 181/300: SAM Test Error: 8.00%
Epoch 182/300: SAM Test Error: 8.50%
Epoch 183/300: SAM Test Error: 7.96%
Epoch 184/300: SAM Test Error: 9.43%
Epoch 185/300: SAM Test Error: 7.64%
Epoch 186/300: SAM Test Error: 7.84%
Epoch 187/300: SAM Test Error: 7.91%
Epoch 188/300: SAM Test Error: 7.79%
Epoch 189/300: SAM Test Error: 8.82%
Epoch 190/300: SAM Test Error: 7.65%
Models saved at epoch 190
Epoch 191/300: SAM Test Error: 6.88%
Epoch 192/300: SAM Test Error: 7.34%
Epoch 193/300: SAM Test Error: 7.91%
Epoch 194/300: SAM Test Error: 6.53%
Epoch 195/300: SAM Test Error: 7.27%
Epoch 196/300: SAM Test Error: 6.92%
Epoch 197/300: SAM Test Error: 8.18%
Epoch 198/300: SAM Test Error: 7.04%
Epoch 199/300: SAM Test Error: 7.01%
Epoch 200/300: SAM Test Error: 8.15%
Models saved at epoch 200
Epoch 201/300: SAM Test Error: 7.40%
Epoch 202/300: SAM Test Error: 6.50%
Epoch 203/300: SAM Test Error: 6.50%
Epoch 204/300: SAM Test Error: 6.88%
Epoch 205/300: SAM Test Error: 6.64%
Epoch 206/300: SAM Test Error: 7.57%
Epoch 207/300: SAM Test Error: 7.09%
Epoch 208/300: SAM Test Error: 7.29%
Epoch 209/300: SAM Test Error: 6.65%
Epoch 210/300: SAM Test Error: 6.93%
Models saved at epoch 210
Epoch 211/300: SAM Test Error: 6.47%
Epoch 212/300: SAM Test Error: 7.49%
Epoch 213/300: SAM Test Error: 5.87%
Epoch 214/300: SAM Test Error: 7.13%
Epoch 215/300: SAM Test Error: 5.92%
Epoch 216/300: SAM Test Error: 6.35%
Epoch 217/300: SAM Test Error: 7.34%
Epoch 218/300: SAM Test Error: 7.23%
Epoch 219/300: SAM Test Error: 6.29%
Epoch 220/300: SAM Test Error: 6.73%
Models saved at epoch 220
Epoch 221/300: SAM Test Error: 5.98%
Epoch 222/300: SAM Test Error: 6.06%
Epoch 223/300: SAM Test Error: 6.15%
Epoch 224/300: SAM Test Error: 6.90%
Epoch 225/300: SAM Test Error: 5.88%
Epoch 226/300: SAM Test Error: 5.88%
Epoch 227/300: SAM Test Error: 6.99%
Epoch 228/300: SAM Test Error: 6.09%
Epoch 229/300: SAM Test Error: 5.47%
Epoch 230/300: SAM Test Error: 5.25%
Models saved at epoch 230
Epoch 231/300: SAM Test Error: 5.90%
Epoch 232/300: SAM Test Error: 6.35%
Epoch 233/300: SAM Test Error: 4.96%
Epoch 234/300: SAM Test Error: 5.70%
Epoch 235/300: SAM Test Error: 6.19%
Epoch 236/300: SAM Test Error: 5.46%
Epoch 237/300: SAM Test Error: 5.27%
Epoch 238/300: SAM Test Error: 5.52%
Epoch 239/300: SAM Test Error: 4.87%
Epoch 240/300: SAM Test Error: 4.65%
Models saved at epoch 240
Epoch 241/300: SAM Test Error: 4.92%
Epoch 242/300: SAM Test Error: 5.34%
Epoch 243/300: SAM Test Error: 4.83%
Epoch 244/300: SAM Test Error: 4.72%
Epoch 245/300: SAM Test Error: 4.77%
Epoch 246/300: SAM Test Error: 4.89%
Epoch 247/300: SAM Test Error: 4.60%
Epoch 248/300: SAM Test Error: 4.39%
Epoch 249/300: SAM Test Error: 4.24%
Epoch 250/300: SAM Test Error: 4.15%
Models saved at epoch 250
Epoch 251/300: SAM Test Error: 4.00%
Epoch 252/300: SAM Test Error: 3.94%
Epoch 253/300: SAM Test Error: 3.92%
Epoch 254/300: SAM Test Error: 3.85%
Epoch 255/300: SAM Test Error: 3.82%
Epoch 256/300: SAM Test Error: 3.83%
Epoch 257/300: SAM Test Error: 3.91%
Epoch 258/300: SAM Test Error: 3.72%
Epoch 259/300: SAM Test Error: 3.74%
Epoch 260/300: SAM Test Error: 3.75%
Models saved at epoch 260
