node1
Files already downloaded and verified
Files already downloaded and verified
Epoch 132/300: SGD Test Error: 10.20%
Epoch 133/300: SGD Test Error: 9.39%
Epoch 134/300: SGD Test Error: 13.18%
Epoch 135/300: SGD Test Error: 10.34%
Epoch 136/300: SGD Test Error: 10.83%
Epoch 137/300: SGD Test Error: 8.72%
Epoch 138/300: SGD Test Error: 13.95%
Epoch 139/300: SGD Test Error: 10.61%
Epoch 140/300: SGD Test Error: 12.90%
Models saved at epoch 140
Epoch 141/300: SGD Test Error: 13.14%
Epoch 142/300: SGD Test Error: 13.19%
Epoch 143/300: SGD Test Error: 10.05%
Epoch 144/300: SGD Test Error: 11.98%
Epoch 145/300: SGD Test Error: 10.16%
Epoch 146/300: SGD Test Error: 8.49%
Epoch 147/300: SGD Test Error: 9.68%
Epoch 148/300: SGD Test Error: 10.74%
Epoch 149/300: SGD Test Error: 11.37%
Epoch 150/300: SGD Test Error: 11.65%
Models saved at epoch 150
Epoch 151/300: SGD Test Error: 13.86%
Epoch 152/300: SGD Test Error: 10.87%
Epoch 153/300: SGD Test Error: 11.28%
Epoch 154/300: SGD Test Error: 14.61%
Epoch 155/300: SGD Test Error: 10.24%
Epoch 156/300: SGD Test Error: 10.22%
Epoch 157/300: SGD Test Error: 10.22%
Epoch 158/300: SGD Test Error: 9.56%
Epoch 159/300: SGD Test Error: 9.53%
Epoch 160/300: SGD Test Error: 10.40%
Models saved at epoch 160
Epoch 161/300: SGD Test Error: 9.57%
Epoch 162/300: SGD Test Error: 10.51%
Epoch 163/300: SGD Test Error: 10.46%
Epoch 164/300: SGD Test Error: 11.28%
Epoch 165/300: SGD Test Error: 9.96%
Epoch 166/300: SGD Test Error: 8.74%
Epoch 167/300: SGD Test Error: 9.55%
Epoch 168/300: SGD Test Error: 8.65%
Epoch 169/300: SGD Test Error: 10.37%
Epoch 170/300: SGD Test Error: 9.00%
Models saved at epoch 170
Epoch 171/300: SGD Test Error: 11.36%
Epoch 172/300: SGD Test Error: 10.68%
Epoch 173/300: SGD Test Error: 7.10%
Epoch 174/300: SGD Test Error: 10.30%
Epoch 175/300: SGD Test Error: 9.45%
Epoch 176/300: SGD Test Error: 9.90%
Epoch 177/300: SGD Test Error: 8.09%
Epoch 178/300: SGD Test Error: 9.14%
Epoch 179/300: SGD Test Error: 8.14%
Epoch 180/300: SGD Test Error: 10.18%
Models saved at epoch 180
Epoch 181/300: SGD Test Error: 10.48%
Epoch 182/300: SGD Test Error: 8.32%
Epoch 183/300: SGD Test Error: 8.51%
Epoch 184/300: SGD Test Error: 9.69%
Epoch 185/300: SGD Test Error: 11.85%
Epoch 186/300: SGD Test Error: 8.46%
Epoch 187/300: SGD Test Error: 8.30%
Epoch 188/300: SGD Test Error: 9.79%
Epoch 189/300: SGD Test Error: 8.62%
Epoch 190/300: SGD Test Error: 9.30%
Models saved at epoch 190
Epoch 191/300: SGD Test Error: 7.75%
Epoch 192/300: SGD Test Error: 9.38%
Epoch 193/300: SGD Test Error: 8.32%
Epoch 194/300: SGD Test Error: 8.54%
Epoch 195/300: SGD Test Error: 7.42%
Epoch 196/300: SGD Test Error: 9.92%
Epoch 197/300: SGD Test Error: 7.18%
Epoch 198/300: SGD Test Error: 8.02%
Epoch 199/300: SGD Test Error: 7.61%
Epoch 200/300: SGD Test Error: 7.22%
Models saved at epoch 200
Epoch 201/300: SGD Test Error: 7.69%
Epoch 202/300: SGD Test Error: 7.32%
Epoch 203/300: SGD Test Error: 7.79%
Epoch 204/300: SGD Test Error: 7.56%
Epoch 205/300: SGD Test Error: 8.35%
Epoch 206/300: SGD Test Error: 7.94%
Epoch 207/300: SGD Test Error: 6.56%
Epoch 208/300: SGD Test Error: 7.92%
Epoch 209/300: SGD Test Error: 7.52%
Epoch 210/300: SGD Test Error: 7.66%
Models saved at epoch 210
Epoch 211/300: SGD Test Error: 7.01%
